00401,NY,Pleasantville,41.075800,-73.47300
00501,NY,Holtsville,40.485500,-73.02400
00544,NY,Holtsville,40.485500,-73.02400
00601,PR,Adjuntas,18.095300,-66.43200
00602,PR,Aguada,18.225300,-67.11100
00603,PR,Aguadilla,18.254600,-67.09100
00604,PR,Aguadilla,18.254600,-67.09100
00605,PR,Aguadilla,18.254600,-67.09100
00607,PR,Aguas Buenas,18.153200,-66.06100
00608,PR,Aguirre,0.000000,0.00000
00609,PR,Aibonito,18.083100,-66.15500
00610,PR,Anasco,18.170500,-67.08200
00611,PR,Angeles,18.171300,-66.47500
00612,PR,Arecibo,18.282800,-66.42500
00613,PR,Arecibo,18.282800,-66.42500
00615,PR,Arroyo,17.580400,-66.03400
00616,PR,Bajadero,18.254300,-66.41000
00617,PR,Barceloneta,18.270900,-66.32200
00618,PR,Barranquitas,18.111900,-66.18200
00619,PR,Bayamon,18.240200,-66.09200
00620,PR,San Juan,18.280600,-66.06200
00621,PR,Bayamon,18.240200,-66.09200
00622,PR,Boqueron,18.035700,-66.30100
00623,PR,Cabo Rojo,18.051900,-67.08400
00625,PR,Caguas,18.141000,-66.02500
00626,PR,Caguas,18.141000,-66.02500
00627,PR,Camuy,18.290900,-66.50400
00628,PR,Carolina,18.225800,-65.57200
00629,PR,Canovanas,18.225200,-65.54000
00630,PR,Carolina,18.225800,-65.57200
00631,PR,Adjuntas,18.095300,-66.43200
00632,PR,Catano,18.263600,-66.07000
00633,PR,Cayey,18.065000,-66.09500
00634,PR,Cayey,18.065000,-66.09500
00635,PR,Ceiba,18.265400,-66.21000
00638,PR,Ciales,18.201700,-66.28000
00639,PR,Cidra,18.104000,-66.09400
00640,PR,Coamo,18.045500,-66.21300
00642,PR,Comerio,18.131200,-66.13300
00643,PR,Corozal,18.045600,-66.42200
00644,PR,Coto Laurel,18.030600,-66.33000
00645,PR,Culebra,18.181800,-65.18000
00646,PR,Dorado,18.273900,-66.16000
00647,PR,Ensenada,17.581500,-66.56000
00648,PR,Fajardo,18.194000,-65.39100
00650,PR,Florida,18.141900,-65.46500
00651,PR,San Juan,18.280600,-66.06200
00652,PR,Garrochales,18.272000,-66.34000
00653,PR,Guanica,17.582500,-66.54300
00654,PR,Guayama,17.591000,-66.06500
00655,PR,Guayama,17.591000,-66.06500
00656,PR,Guayanilla,18.011600,-66.47300
00657,PR,Guaynabo,18.213400,-66.06400
00658,PR,Gurabo,18.152300,-65.58200
00659,PR,Hatillo,18.291800,-66.49300
00660,PR,Hormigueros,18.083000,-67.07400
00661,PR,Humacao,18.090600,-65.49400
00662,PR,Isabela,18.301000,-67.01200
00664,PR,Jayuya,18.131400,-66.35300
00665,PR,Juana Diaz,18.031600,-66.30200
00666,PR,Juncos,18.134600,-65.55100
00667,PR,Lajas,18.030700,-67.03300
00668,PR,La Plata,18.092300,-66.14000
00669,PR,Lares,18.174800,-66.52300
00670,PR,Las Marias,18.174300,-67.08400
00671,PR,Las Piedras,18.110600,-65.52000
00672,PR,Loiza,18.270300,-66.03100
00673,PR,Luquillo,18.222800,-65.43000
00701,PR,Manati,18.254600,-66.29300
00706,PR,Maricao,18.105800,-66.58400
00707,PR,Maunabo,18.003300,-65.53500
00708,PR,Mayaguez,18.121100,-67.08200
00709,PR,Mayaguez,18.121100,-67.08200
00715,PR,Mercedita,0.000000,0.00000
00716,PR,Moca,18.234800,-67.06400
00717,PR,Morovis,18.194000,-66.24200
00718,PR,Naguabo,18.124900,-65.44000
00719,PR,Naranjito,18.181000,-66.14400
00720,PR,Orocovis,18.134400,-66.23200
00721,PR,Rio Grande,18.225600,-65.49500
00723,PR,Patillas,18.003000,-66.00500
00724,PR,Penuelas,18.004000,-66.21000
00731,PR,Ponce,18.004700,-66.36500
00732,PR,Ponce,18.004700,-66.36500
00733,PR,Ponce,18.004700,-66.36500
00734,PR,Ponce,18.004700,-66.36500
00740,PR,Puerto Real,18.043700,-67.11100
00741,PR,Punta Santiago,18.100600,-65.44500
00742,PR,Quebradillas,18.283300,-66.56200
00743,PR,Rincon,18.030000,-66.32300
